price,miles,fuel_type,exterior_color,interior_color,drivetrain,transmission,engine,model_name
38740,2, Gasoline, Kona Blue Metallic, Ebony, RWD,Auto,V2,Mustang
24739,10, Gasoline, Shadow Black, Ebony Black, 4WD,Auto,V2,EcoSport
4481,133152, Gasoline, Black, Black, FWD,Auto,V2,Fusion
69085,8, Diesel, White Platinum Tri-Coat Metallic, Black, 4WD,Auto,V2,F-350
52282,14, E85 Flex Fuel, Oxford White, Black / Dark Marsala, 4WD,Auto,V2,F-250
11641,82019, Gasoline, Black, Tan, AWD,Auto,V4,Escape
44728,6, Gasoline, Agate Black Metallic, Ebony Black/Copper Insert, 4WD,Auto,V2,Explorer
6450,101802, Gasoline, Black, Black, FWD,Auto,V2,Focus
14900,46296, Gasoline, White, Black, FWD,Auto,V2,Fusion
26085,2, E85 Flex Fuel, Ruby Red Metallic Tinted Clearcoat, Charcoal Black, FWD,Auto,V2,Taurus
12900,66212, E85 Flex Fuel, Steel Blue Metallic, Charcoal Black, 4WD,Auto,V2,Escape
28480,10, Gasoline, Ingot Silver Metallic, Ebony, RWD,Auto,V2,Mustang
13988,29020, Gasoline, Ruby Red Metallic Tinted Clearcoat, Charcoal Black, FWD,Auto,V4,Fusion
26826,17092, Gasoline, Shadow Black, Ebony, AWD,Auto,V2,Edge
42915,7, E85 Flex Fuel, Oxford White, Medium Earth Gray, 4WD,Auto,V2,F-250
14000,5, Gasoline, Chili Pepper Red, Charcoal Black, FWD,Auto,V4,Fiesta
22420,5, Gasoline, Frozen White, Ebony, FWD,Auto,V2,Transit Connect
25917,10, Gasoline, Magnetic Metallic, Charcoal Black, 4WD,Auto,V4,Escape
60999,3, Gasoline, Shadow Black, Black, 4WD,Auto,V2,Expedition Max
40999,5, Gasoline, Guard, Medium Earth Gray, 4WD,Auto,V2,F-150
19342,5, Gasoline, Ruby Red Metallic Tinted Clearcoat, Ebony, FWD,Auto,V4,Fusion
31167,253, Gasoline, Oxford White, Pewter, RWD,Auto,V2,Transit-150
51265,4, Gasoline, Blue Metallic, Dark Earth Gray, AWD,Auto,V2,Flex
16926,3058, Gasoline, Magnetic, Ebony, FWD,Auto,V4,Fusion
8995,17054, Gasoline, Red, GRAY, FWD,Auto,V6,Fiesta
46600,10, Gasoline, Guard, Medium Earth Gray, 4WD,Auto,V2,F-150
37477,20, Gasoline, Blue, Charcoal, RWD,Auto,V2,Transit-250
14490,71696, Gasoline, Slate Metallic, Charcoal Black, FWD,Auto,V2,Edge
