price,price2,miles,fuel type,exterior color,interior color,drivetrain,transmission,engine,VIN,name,seller_address,id,model_name
"$10,950","$10,950","93,905 miles", Gasoline, White, Gray, FWD, Automatic, 2.0L L4 DOHC 16V, NM0LS7AN6DT138492,Used 2013 Ford Transit Connect XL,"45 US-12, Fox Lake, IL 60020",737143724,Transit Connect
"$4,995","$4,995","182,962 miles", Diesel, Blue, Gray, 4WD, Automatic 5-Speed, 6.0L V8 Turbocharger, 1FTSF31P34EB59138,Used 2004 Ford F-350 XL Crew Cab,"5130 West Forest Home Ave Milwaukee, WI 53219, Milwaukee, WI 53219",752180929,F-350
"$21,995","$21,995","9,495 miles", Gasoline, Screaming Yellow, Dark Charcoal, RWD, 4-Speed Automatic, 4.6L V8 32V MPFI DOHC, 1FAFP42R44F130798,Used 2004 Ford Mustang Mach I,"545 E. North Ave., Carol Stream, IL 60188",754154194,Mustang
"$12,489","$12,489","27,471 miles", E85 Flex Fuel, Kona Blue, Charcoal Black, FWD, 6-Speed PowerShift Automatic, 2.0L I4 16V GDI DOHC Flexible Fuel, 1FADP3F26GL299094,Used 2016 Ford Focus SE,"2303 W. Beltline Highway, Madison, WI 53713",754795130,Focus
"$26,300","$26,300",31 miles, Gasoline, Shadow Black,, 4WD, 6-Speed Automatic, 2.0L I4 16V GDI DOHC, MAJ6P1CL0JC177820,New 2018 Ford EcoSport SES,"2525 E Main St, St Charles, IL 60174",735225705,EcoSport
"$18,999","$18,999","49,717 miles", Gasoline, Tuxedo Black, Charcoal Black, AWD, 6-Speed Automatic, EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT, 1FMCU9J90EUD11636,Used 2014 Ford Escape Titanium,"7200 150th St W, Apple Valley, MN 55124",755122996,Escape
"$15,998","$15,998","18,085 miles", E85 Flex Fuel, Black,, FWD, 6-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Flexible Fuel, 1FADP3J26GL202919,Certified 2016 Ford Focus Titanium,"1450 Hickman Rd, Waukee, IA 50263",752360393,Focus
"$60,160","$60,160",, E85 Flex Fuel, White Frost Tricoat, INTERIOR TRIM,," TRANSMISSION, 8-SPEED AUTOMATIC",, 1GTU9DED0KZ151915,New 2019 GMC Sierra Short Box Crew 1500 4WD,"2420 E 23rd St, Fremont, NE 68025",754504295,Model Unknown
"$11,998","$11,998","36,100 miles", E85 Flex Fuel, Red, Charcoal Black, FWD, 6-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Flexible Fuel, 1FADP3F21FL230019,Used 2015 Ford Focus SE,"101 N Wolf Rd, Hillside, IL 60162",754280958,Focus
"$43,061","$43,061",2 miles, Gasoline, Ruby Red Metallic, Medium Light Camel, 4WD, 10-Speed Automatic, 3.5L V6 24V PDI DOHC Twin Turbo, 1FTEW1EG2JFE61943,New 2018 Ford F-150 XLT,"104 Route 173, Antioch, IL 60002",751324091,F-150
